route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
6,2026_01_12-DX-MVS-Weekday-001,1842078,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
6,2026_01_12-DX-MVS-Weekday-001,1842079,"SF / OAK Airport / Berryessa",0,,006A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842131,"OAK Airport / Richmond",0,,003A_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842318,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842132,"OAK Airport / Richmond",0,,003B_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842319,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842133,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842320,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842134,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842321,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842135,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842322,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842136,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842323,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842137,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842324,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842138,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842325,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842139,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842326,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842140,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842327,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842141,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842328,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842142,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842329,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842143,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842330,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842144,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842331,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842145,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842332,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842146,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842333,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842147,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842334,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842148,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842335,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842149,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842336,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842150,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842337,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842151,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842338,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842152,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842339,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842153,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842340,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842154,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842341,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842155,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842342,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842156,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842343,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842157,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842344,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842158,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842345,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842159,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842346,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842160,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842347,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842161,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842348,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842162,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842349,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842163,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842350,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842164,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842351,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842165,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842352,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842166,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842353,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842167,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842354,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842168,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842355,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
